///Pull Back for Safety|||
///Character|Line||
Medic|We hanging back for a little bit.||
Nerd|We have temporarily prolonged the time we have, but the orbital strike is surely still coming!|4|
C.O.|I can't contact the command ship, even from this position!||
Player|Maybe we should push through after all - the sooner we're through, the better!|10|C4-2
Mystic|We are in the eye, but the storm continues on.||
The loveable giant|Maybe we can take a small breather here?||
Aloof sniper|Staying or pressing forth... neither an ideal choice.||
UWA~!|We should keep at it!|1|
Legacy Soldier|We'll need our strength for what's to come.||
Connect|||C6-1
