///push on through plasma volcano|||
///Character|Line||
Medic|We are only getting further from our destination.||
Nerd|The seismic activity has lessened to a manageable degree.|4|
C.O.|Lads, we can pick any direction, but we need to pick one!||
Player|Maybe we can take that valley instead!|10|D2
Mystic|Through the lows or the highs, we matter not.||
The loveable giant|Is there a route that looks safer for us to take, because safety comes first!||
Aloof sniper|...it looks treacherous. ||
UWA~!|Nobody sees any jigglies??|1|
Legacy Soldier|This is a waste, going back and forth like this.||
Connect|||XC6-2
