///Rumbling Above Us|||
///Character|Line||
C.O.|I do feel a bit of trembling. We may no longer be all hunky-dory.|5|
Nerd|That's not seismic in origin—it's gaseous!|5|
Player|It's getting stronger!|4|
Mystic|Dust motes in the cosmos. Mites in the eyes of God.|4|
Player|We should pull back, because whatever that is doesn't sound friendly.|10|C4-1
The loveable giant|Certainly not a spot to stop for a picnic.||
Player|Let's keep onwards.||
Aloof sniper|Eyes? Any eyes on the source?|1|
UWA~!|We can't fight a mountain! |1|
Medic|I haven't seen anything big enough to shake the mountain, and I also don't want to.|3|
Legacy Soldier|...something doesn't feel right. This feels familiar.|2|
Connect|||C6-1
